movie_name,release_year,runtime,genre,rating,director,cast_1,cast_2,cast_3,cast_4,votes,gross
La Belle et la Bête,(1946),96 min,"
Drama, Fantasy, Romance            ","

7.9
",Jean Cocteau,René Clément,Jean Marais,Josette Day,Mila Parély,"27,514",$0.30M
La La Land,(2016),128 min,"
Comedy, Drama, Music            ","

8.0
",Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,"635,301",$151.10M
La battaglia di Algeri,(1966),121 min,"
Drama, War            ","

8.1
",Gillo Pontecorvo,Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,"63,674",$0.06M
La dolce vita,(1960),174 min,"
Comedy, Drama            ","

8.0
",Federico Fellini,Marcello Mastroianni,Anita Ekberg,Anouk Aimée,Yvonne Furneaux,"76,459",$19.52M
La double vie de Véronique,(1991),98 min,"
Drama, Fantasy, Music            ","

7.7
",Krzysztof Kieslowski,Irène Jacob,Wladyslaw Kowalski,Halina Gryglaszewska,Kalina Jedrusik,"51,581",$2.00M
La grande bellezza,(2013),141 min,"
Drama            ","

7.7
",Paolo Sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso,"95,355",$2.85M
La Grande Illusion,(1937),113 min,"
Drama, War            ","

8.1
",Jean Renoir,Jean Gabin,Dita Parlo,Pierre Fresnay,Erich von Stroheim,"38,104",$0.17M
La haine,(1995),98 min,"
Crime, Drama            ","

8.1
",Mathieu Kassovitz,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,"187,439",$0.31M
La leggenda del pianista sull'oceano,(1998),169 min,"
Drama, Music, Romance            ","

8.0
",Giuseppe Tornatore,Tim Roth,Pruitt Taylor Vince,Mélanie Thierry,Bill Nunn,"67,626",$0.26M
La migliore offerta,(2013),131 min,"
Crime, Drama, Mystery            ","

7.8
",Giuseppe Tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,"125,218",$0.09M
La montaña sagrada,(1973),114 min,"
Adventure, Drama, Fantasy            ","

7.8
",Alejandro Jodorowsky,Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara,"46,355",$0.06M
La passion de Jeanne d'Arc,(1928),110 min,"
Biography, Drama, History            ","

8.1
",Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,André Berley,Maurice Schutz,"58,599",$0.02M
La planète sauvage,(1973),72 min,"
Animation, Sci-Fi            ","

7.7
",René Laloux,Barry Bostwick,Jennifer Drake,Eric Baugin,Jean Topart,"35,193",$0.19M
La règle du jeu,(1939),110 min,"
Comedy, Drama            ","

7.9
",Jean Renoir,Marcel Dalio,Nora Gregor,Paulette Dubost,Mila Parély,"30,553",NaN
La strada,(1954),108 min,"
Drama            ","

8.0
",Federico Fellini,Anthony Quinn,Giulietta Masina,Richard Basehart,Aldo Silvani,"65,483",NaN
La vie d'Adèle,(2013),180 min,"
Drama, Romance            ","

7.7
",Abdellatif Kechiche,Léa Seydoux,Adèle Exarchopoulos,Salim Kechiouche,Aurélien Recoing,"159,337",$2.20M
La vita è bella,(1997),116 min,"
Comedy, Drama, Romance            ","

8.6
",Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,"723,129",$57.60M
Ladri di biciclette,(1948),89 min,"
Drama            ","

8.3
",Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Elena Altieri,"170,474",$0.33M
Lagaan: Once Upon a Time in India,(2001),224 min,"
Drama, Musical, Sport            ","

8.1
",Ashutosh Gowariker,Aamir Khan,Raghubir Yadav,Gracy Singh,Rachel Shelley,"118,265",$0.91M
Lage Raho Munna Bhai,(2006),144 min,"
Comedy, Drama, Romance            ","

8.0
",Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani,"48,665",$2.22M
Lat sau san taam,(1992),128 min,"
Action, Crime, Thriller            ","

7.7
",John Woo,Chow Yun-Fat,Tony Leung Chiu-wai,Teresa Mo,Philip Chan,"52,822",NaN
Laura,(1944),88 min,"
Drama, Film-Noir, Mystery            ","

7.9
",Otto Preminger,Gene Tierney,Dana Andrews,Clifton Webb,Vincent Price,"49,734",$4.36M
Lawrence of Arabia,(1962),218 min,"
Adventure, Biography, Drama            ","

8.3
",David Lean,Peter O'Toole,Alec Guinness,Anthony Quinn,Jack Hawkins,"305,895",$44.82M
Le Petit Prince,(2015),108 min,"
Animation, Adventure, Drama            ","

7.7
",Mark Osborne,Jeff Bridges,Mackenzie Foy,Rachel McAdams,Marion Cotillard,"65,081",$1.34M
Le Samouraï,(1967),105 min,"
Crime, Drama, Thriller            ","

8.0
",Jean-Pierre Melville,Alain Delon,François Périer,Nathalie Delon,Cathy Rosier,"54,762",$0.04M
Le cercle rouge,(1970),140 min,"
Crime, Drama, Thriller            ","

7.9
",Jean-Pierre Melville,Alain Delon,Bourvil,Gian Maria Volontè,Yves Montand,"27,171",$0.37M
Le charme discret de la bourgeoisie,(1972),102 min,"
Comedy            ","

7.8
",Luis Buñuel,Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier,"45,426",$0.20M
Le fabuleux destin d'Amélie Poulain,(2001),122 min,"
Comedy, Romance            ","

8.3
",Jean-Pierre Jeunet,Audrey Tautou,Mathieu Kassovitz,Rufus,Lorella Cravotta,"778,612",$33.23M
Le notti di Cabiria,(1957),110 min,"
Drama            ","

8.1
",Federico Fellini,Giulietta Masina,François Périer,Franca Marzi,Dorian Gray,"51,009",$0.75M
Le passé,(2013),130 min,"
Drama, Mystery            ","

7.7
",Asghar Farhadi,Bérénice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet,"50,190",$1.33M
Le salaire de la peur,(1953),131 min,"
Adventure, Drama, Thriller            ","

8.2
",Henri-Georges Clouzot,Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli,"64,440",#195
Le scaphandre et le papillon,(2007),112 min,"
Biography, Drama            ","

8.0
",Julian Schnabel,Mathieu Amalric,Emmanuelle Seigner,Marie-Josée Croze,Anne Consigny,"109,471",$5.99M
Les choristes,(2004),97 min,"
Drama, Music            ","

7.8
",Christophe Barratier,Gérard Jugnot,François Berléand,Jean-Baptiste Maunier,Kad Merad,"65,475",$3.64M
Les diaboliques,(1955),117 min,"
Crime, Drama, Horror            ","

8.1
",Henri-Georges Clouzot,Simone Signoret,Véra Clouzot,Paul Meurisse,Charles Vanel,"68,074",$1.09M
Les parapluies de Cherbourg,(1964),91 min,"
Drama, Musical, Romance            ","

7.8
",Jacques Demy,Catherine Deneuve,Nino Castelnuovo,Anne Vernon,Marc Michel,"30,036",$0.03M
Les quatre cents coups,(1959),99 min,"
Crime, Drama            ","

8.1
",François Truffaut,Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble,"124,422",#246
Les triplettes de Belleville,(2003),80 min,"
Animation, Adventure, Comedy            ","

7.7
",Sylvain Chomet,Michèle Caucheteux,Jean-Claude Donda,Michel Robin,Monica Viegas,"56,206",$7.00M
Lethal Weapon,(1987),109 min,"
Action, Crime, Thriller            ","

7.6
",Richard Donner,Mel Gibson,Danny Glover,Gary Busey,Mitchell Ryan,"269,935",$65.21M
Letters from Iwo Jima,(2006),141 min,"
Action, Adventure, Drama            ","

7.8
",Clint Eastwood,Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryo Kase,"167,723",$13.76M
Life of Brian,(1979),94 min,"
Comedy            ","

8.0
",Terry Jones,Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,"414,663",$20.05M
Life of Pi,(2012),127 min,"
Adventure, Drama, Fantasy            ","

7.9
",Ang Lee,Suraj Sharma,Irrfan Khan,Adil Hussain,Tabu,"653,138",$124.99M
Lilja 4-ever,(2002),109 min,"
Crime, Drama            ","

7.8
",Lukas Moodysson,Oksana Akinshina,Artyom Bogucharskiy,Pavel Ponomaryov,Lyubov Agapova,"47,929",$0.18M
Lion,(2016),118 min,"
Biography, Drama            ","

8.0
",Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,"245,517",$51.74M
Little Miss Sunshine,(2006),101 min,"
Comedy, Drama            ","

7.8
",Jonathan Dayton,Valerie Faris,Steve Carell,Toni Collette,Greg Kinnear,"504,296",$59.89M
Little Women,(2019),135 min,"
Drama, Romance            ","

7.8
",Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,"228,975",$108.10M
"Lock, Stock and Two Smoking Barrels",(1998),107 min,"
Action, Comedy, Crime            ","

8.1
",Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,"602,914",$3.90M
Logan,(2017),137 min,"
Action, Drama, Sci-Fi            ","

8.1
",James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,Boyd Holbrook,"804,407",$226.28M
Lola rennt,(1998),81 min,"
Action, Crime, Thriller            ","

7.7
",Tom Tykwer,Franka Potente,Moritz Bleibtreu,Herbert Knaup,Nina Petri,"203,875",$7.27M
Lost in Translation,(2003),102 min,"
Comedy, Drama            ","

7.7
",Sofia Coppola,Bill Murray,Scarlett Johansson,Giovanni Ribisi,Anna Faris,"474,778",$44.59M
Love and Death,(1975),85 min,"
Comedy, War            ","

7.7
",Woody Allen,Woody Allen,Diane Keaton,Georges Adet,Frank Adu,"40,033",NaN
Loving Vincent,(2017),94 min,"
Animation, Drama, Mystery            ","

7.8
",DK Welchman,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,"61,533",$6.74M
Lucky Number Slevin,(2006),110 min,"
Crime, Drama, Thriller            ","

7.7
",Paul McGuigan,Josh Hartnett,Ben Kingsley,Morgan Freeman,Lucy Liu,"321,378",$22.49M
Låt den rätte komma in,(2008),114 min,"
Drama, Fantasy, Horror            ","

7.9
",Tomas Alfredson,Kåre Hedebrant,Lina Leandersson,Per Ragnar,Henrik Dahl,"223,058",$2.12M
Léon,(1994),110 min,"
Action, Crime, Drama            ","

8.5
",Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,"1,210,119",$19.50M
M - Eine Stadt sucht einen Mörder,(1931),117 min,"
Crime, Mystery, Thriller            ","

8.3
",Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke,"164,336",$0.03M
M.S. Dhoni: The Untold Story,(2016),184 min,"
Biography, Drama, Sport            ","

8.0
",Mathur Goswami,Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,"64,955",$1.78M
Ma vie de Courgette,(2016),66 min,"
Animation, Comedy, Drama            ","

7.8
",Claude Barras,Gaspard Schlatter,Sixtine Murat,Paulin Jaccoud,Michel Vuillermoz,"27,889",$0.29M
Mad Max 2,(1981),96 min,"
Action, Adventure, Sci-Fi            ","

7.6
",George Miller,Mel Gibson,Bruce Spence,Michael Preston,Max Phipps,"188,789",$12.47M
Mad Max: Fury Road,(2015),120 min,"
Action, Adventure, Sci-Fi            ","

8.1
",George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,"1,049,329",$154.06M
Madeo,(2009),129 min,"
Crime, Drama, Mystery            ","

7.7
",Bong Joon Ho,Hye-ja Kim,Won Bin,Jin Goo,Je-mun Yun,"69,111",$0.55M
Magnolia,(1999),188 min,"
Drama            ","

8.0
",Paul Thomas Anderson,Tom Cruise,Jason Robards,Julianne Moore,Philip Seymour Hoffman,"322,784",$22.46M
Majo no takkyûbin,(1989),103 min,"
Animation, Family, Fantasy            ","

7.8
",Hayao Miyazaki,Kirsten Dunst,Minami Takayama,Rei Sakuma,Kappei Yamaguchi,"156,210",NaN
Malcolm X,(1992),202 min,"
Biography, Drama, History            ","

7.7
",Spike Lee,Denzel Washington,Angela Bassett,Delroy Lindo,Spike Lee,"99,508",$48.17M
Man on Fire,(2004),146 min,"
Action, Crime, Drama            ","

7.7
",Tony Scott,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell,"378,746",$77.91M
Manbiki kazoku,(2018),121 min,"
Crime, Drama, Thriller            ","

7.9
",Hirokazu Koreeda,Lily Franky,Sakura Ando,Kirin Kiki,Mayu Matsuoka,"82,603",$3.31M
Manchester by the Sea,(2016),137 min,"
Drama            ","

7.8
",Kenneth Lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,"300,347",$47.70M
Mandariinid,(2013),87 min,"
Drama, War            ","

8.1
",Zaza Urushadze,Lembit Ulfsak,Elmo Nüganen,Giorgi Nakashidze,Misha Meskhi,"48,010",$0.14M
Manhattan,(1979),96 min,"
Comedy, Drama, Romance            ","

7.8
",Woody Allen,Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy,"144,372",$45.70M
Mar adentro,(I) (2004),126 min,"
Biography, Drama            ","

8.0
",Alejandro Amenábar,Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera,"84,061",$2.09M
Marriage Story,(2019),137 min,"
Drama, Romance            ","

7.9
",Noah Baumbach,Adam Driver,Scarlett Johansson,Julia Greer,Azhy Robertson,"332,674",$2.00M
Marty,(1955),90 min,"
Drama, Romance            ","

7.7
",Delbert Mann,Ernest Borgnine,Betsy Blair,Esther Minciotti,Augusta Ciolli,"26,057",NaN
Mary Poppins,(1964),139 min,"
Comedy, Family, Fantasy            ","

7.8
",Robert Stevenson,Julie Andrews,Dick Van Dyke,David Tomlinson,Glynis Johns,"180,855",$102.27M
Mary and Max.,(2009),92 min,"
Animation, Comedy, Drama            ","

8.1
",Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries,"183,187",#205
Masaan,(2015),109 min,"
Drama            ","

8.1
",Neeraj Ghaywan,Richa Chadha,Sanjay Mishra,Vicky Kaushal,Pankaj Tripathi,"29,886",NaN
Match Point,(2005),124 min,"
Drama, Romance, Thriller            ","

7.6
",Woody Allen,Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,Matthew Goode,"224,393",$23.09M
Me and Earl and the Dying Girl,(2015),105 min,"
Comedy, Drama, Romance            ","

7.7
",Alfonso Gomez-Rejon,Thomas Mann,RJ Cyler,Olivia Cooke,Nick Offerman,"136,040",$6.74M
Memento,(2000),113 min,"
Mystery, Thriller            ","

8.4
",Christopher Nolan,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,"1,288,197",$25.54M
Metropolis,(1927),153 min,"
Drama, Sci-Fi            ","

8.3
",Fritz Lang,Brigitte Helm,Alfred Abel,Gustav Fröhlich,Rudolf Klein-Rogge,"180,924",$1.24M
Midnight Cowboy,(1969),113 min,"
Drama            ","

7.8
",John Schlesinger,Dustin Hoffman,Jon Voight,Sylvia Miles,John McGiver,"116,882",$44.79M
Midnight in Paris,(2011),94 min,"
Comedy, Fantasy, Romance            ","

7.6
",Woody Allen,Owen Wilson,Rachel McAdams,Kathy Bates,Kurt Fuller,"440,854",$56.82M
Mildred Pierce,(1945),111 min,"
Crime, Drama, Film-Noir            ","

7.9
",Michael Curtiz,Joan Crawford,Jack Carson,Zachary Scott,Eve Arden,"27,794",NaN
Miller's Crossing,(1990),115 min,"
Crime, Drama, Thriller            ","

7.7
",Joel Coen,Ethan Coen,Gabriel Byrne,Albert Finney,John Turturro,"139,522",$5.08M
Million Dollar Baby,(2004),132 min,"
Drama, Sport            ","

8.1
",Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,"707,814",$100.49M
Mimi wo sumaseba,(1995),111 min,"
Animation, Drama, Family            ","

7.8
",Yoshifumi Kondô,Yoko Honna,Issey Takahashi,Takashi Tachibana,Shigeru Muroi,"68,574",NaN
Minority Report,(2002),145 min,"
Action, Crime, Mystery            ","

7.6
",Steven Spielberg,Tom Cruise,Colin Farrell,Samantha Morton,Max von Sydow,"571,993",$132.07M
Miracle on 34th Street,(1947),96 min,"
Comedy, Drama, Family            ","

7.9
",George Seaton,Edmund Gwenn,Maureen O'Hara,John Payne,Gene Lockhart,"51,553",$2.65M
Misery,(1990),107 min,"
Drama, Thriller            ","

7.8
",Rob Reiner,James Caan,Kathy Bates,Richard Farnsworth,Frances Sternhagen,"225,796",$61.28M
Mission: Impossible - Dead Reckoning Part One,(2023),163 min,"
Action, Adventure, Thriller            ","

7.9
",Christopher McQuarrie,Tom Cruise,Hayley Atwell,Ving Rhames,Simon Pegg,"139,801",NaN
Mission: Impossible - Fallout,(2018),147 min,"
Action, Adventure, Thriller            ","

7.7
",Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg,"364,815",$220.16M
Mississippi Burning,(1988),128 min,"
Crime, Drama, Mystery            ","

7.8
",Alan Parker,Gene Hackman,Willem Dafoe,Frances McDormand,Brad Dourif,"106,240",$34.60M
Modern Times,(1936),87 min,"
Comedy, Drama, Romance            ","

8.5
",Charles Chaplin,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,"252,688",$0.16M
Mommy,(I) (2014),139 min,"
Drama            ","

8.0
",Xavier Dolan,Anne Dorval,Antoine Olivier Pilon,Suzanne Clément,Patrick Huard,"60,206",$3.49M
Moneyball,(2011),133 min,"
Biography, Drama, Sport            ","

7.6
",Bennett Miller,Brad Pitt,Robin Wright,Jonah Hill,Philip Seymour Hoffman,"449,559",$75.61M
Mononoke-hime,(1997),134 min,"
Animation, Action, Adventure            ","

8.3
",Hayao Miyazaki,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,"416,141",$2.38M
"Monsters, Inc.",(2001),92 min,"
Animation, Adventure, Comedy            ","

8.1
",Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman,"950,106",$289.92M
Monty Python and the Holy Grail,(1975),91 min,"
Adventure, Comedy, Fantasy            ","

8.2
",Terry Gilliam,Terry Jones,Graham Chapman,John Cleese,Eric Idle,"558,703",$1.23M
Moon,(2009),97 min,"
Drama, Mystery, Sci-Fi            ","

7.8
",Duncan Jones,Sam Rockwell,Kevin Spacey,Dominique McElligott,Rosie Shaw,"370,205",$5.01M
Moonrise Kingdom,(2012),94 min,"
Comedy, Drama, Family            ","

7.8
",Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,"361,627",$45.51M
Mou gaan dou,(2002),101 min,"
Action, Crime, Drama            ","

8.0
",Andrew Lau,Alan Mak,Andy Lau,Tony Leung Chiu-wai,Anthony Chau-Sang Wong,"128,942",$0.17M
Mr. Nobody,(2009),141 min,"
Drama, Fantasy, Romance            ","

7.7
",Jaco Van Dormael,Jared Leto,Sarah Polley,Diane Kruger,Linh-Dan Pham,"241,633",$0.00M
Mr. Smith Goes to Washington,(1939),129 min,"
Comedy, Drama            ","

8.1
",Frank Capra,James Stewart,Jean Arthur,Claude Rains,Edward Arnold,"119,096",$9.60M
Mulan,(1998),87 min,"
Animation, Adventure, Comedy            ","

7.6
",Tony Bancroft,Barry Cook,Ming-Na Wen,Eddie Murphy,BD Wong,"305,515",$120.62M
Mulholland Dr.,(2001),147 min,"
Drama, Mystery, Thriller            ","

7.9
",David Lynch,Naomi Watts,Laura Harring,Justin Theroux,Jeanne Bates,"373,083",$7.22M
Munna Bhai M.B.B.S.,(2003),156 min,"
Comedy, Drama            ","

8.1
",Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh,Boman Irani,"85,902",NaN
My Cousin Vinny,(1992),120 min,"
Comedy, Crime            ","

7.6
",Jonathan Lynn,Joe Pesci,Marisa Tomei,Ralph Macchio,Mitchell Whitfield,"135,566",$52.93M
My Fair Lady,(1964),170 min,"
Drama, Family, Musical            ","

7.8
",George Cukor,Audrey Hepburn,Rex Harrison,Stanley Holloway,Wilfrid Hyde-White,"99,364",$72.00M
My Left Foot: The Story of Christy Brown,(1989),103 min,"
Biography, Drama            ","

7.8
",Jim Sheridan,Daniel Day-Lewis,Brenda Fricker,Alison Whelan,Kirsten Sheridan,"77,938",$14.74M
My Name Is Khan,(2010),165 min,"
Adventure, Drama, Romance            ","

7.9
",Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon,Katie Amanda Keane,"112,649",$4.02M
Mystic River,(2003),138 min,"
Crime, Drama, Mystery            ","

7.9
",Clint Eastwood,Sean Penn,Tim Robbins,Kevin Bacon,Emmy Rossum,"473,527",$90.14M
Män som hatar kvinnor,(2009),152 min,"
Crime, Drama, Mystery            ","

7.8
",Niels Arden Oplev,Michael Nyqvist,Noomi Rapace,Ewa Fröling,Lena Endre,"220,845",$10.10M
Naked,(1993),131 min,"
Comedy, Drama            ","

7.7
",Mike Leigh,David Thewlis,Lesley Sharp,Katrin Cartlidge,Greg Cruttwell,"42,354",$1.77M
Nattvardsgästerna,(1963),81 min,"
Drama            ","

8.0
",Ingmar Bergman,Ingrid Thulin,Gunnar Björnstrand,Gunnel Lindblom,Max von Sydow,"26,363",NaN
